hi
2013-02-08 22:38:07,682 INFO:	Draw processed
2013-02-08 22:38:07,710 INFO:	css requested
2013-02-08 22:38:07,742 INFO:	request for non-existant page: quinten/images/back.png
2013-02-08 22:38:07,769 INFO:	Draw processed
2013-02-08 22:38:07,806 INFO:	request for non-existant page: favicon.ico
2013-02-08 22:38:07,914 INFO:	css requested
2013-02-08 22:38:08,008 INFO:	Out processed
2013-02-08 22:38:08,027 INFO:	request for non-existant page: quinten/images/back.png
2013-02-08 22:38:08,043 INFO:	css requested
2013-02-08 22:38:08,082 INFO:	request for non-existant page: quinten/images/back.png
2013-02-08 22:38:08,145 INFO:	request for non-existant page: favicon.ico
2013-02-08 22:38:08,259 INFO:	request for non-existant page: favicon.ico
2013-02-08 22:38:10,354 INFO:	Draw processed
2013-02-08 22:38:10,449 INFO:	css requested
2013-02-08 22:38:10,489 INFO:	request for non-existant page: quinten/images/back.png
2013-02-08 22:38:10,557 INFO:	request for non-existant page: favicon.ico
2013-02-08 22:38:34,784 INFO:	css requested
2013-02-08 22:38:34,882 INFO:	request for non-existant page: quinten/images/back.png
2013-02-08 22:38:35,100 INFO:	request for non-existant page: favicon.ico
2013-02-08 23:18:47,025 INFO:	Draw processed
2013-02-08 23:18:47,078 INFO:	request for non-existant page: css/site_wide.css
2013-02-08 23:18:47,123 INFO:	request for non-existant page: quinten/images/logos/logo.png
2013-02-08 23:18:47,200 INFO:	request for non-existant page: favicon.ico
2013-02-08 23:38:06,576 INFO:	request for non-existant page: css/site_wide.css
2013-02-08 23:38:06,623 INFO:	request for non-existant page: css/css/site_wide.css
2013-02-08 23:38:17,081 INFO:	request for non-existant page: quinten/images/logos/logo.png
2013-02-08 23:38:17,091 INFO:	request for non-existant page: css/site_wide.css
2013-02-08 23:38:17,115 INFO:	request for non-existant page: quinten/images/logos/logo.png
2013-02-08 23:38:17,159 INFO:	request for non-existant page: favicon.ico
2013-02-08 23:38:26,735 INFO:	 processed
2013-02-08 23:38:26,766 INFO:	request for non-existant page: css/site_wide.css
2013-02-08 23:38:26,791 INFO:	request for non-existant page: quinten/images/logos/logo.png
2013-02-08 23:38:26,989 INFO:	request for non-existant page: favicon.ico
2013-02-08 23:46:13,844 INFO:	 processed
2013-02-08 23:46:13,888 INFO:	request for non-existant page: css/site_wide.css
2013-02-08 23:46:13,923 INFO:	request for non-existant page: quinten/images/logos/logo.png
2013-02-08 23:46:13,995 INFO:	request for non-existant page: favicon.ico
2013-02-08 23:46:23,383 INFO:	request for non-existant page: site_wide.css
2013-02-08 23:46:23,421 INFO:	request for non-existant page: css/site_wide.css
2013-02-08 23:46:23,438 INFO:	request for non-existant page: quinten/images/logos/logo.png
2013-02-08 23:46:23,490 INFO:	request for non-existant page: favicon.ico
2013-02-09 00:01:02,678 INFO:	request for non-existant page: site_wide.css
2013-02-09 00:01:02,722 INFO:	css requested
2013-02-09 00:01:02,757 INFO:	request for non-existant page: quinten/images/logos/logo.png
2013-02-09 00:01:02,769 INFO:	request for non-existant page: quinten/images/back.png
2013-02-09 00:01:02,851 INFO:	request for non-existant page: favicon.ico
2013-02-09 00:01:09,825 INFO:	css requested
2013-02-09 00:01:09,949 INFO:	request for non-existant page: favicon.ico
2013-02-09 00:01:18,246 INFO:	 processed
2013-02-09 00:01:18,387 INFO:	css requested
2013-02-09 00:01:18,397 INFO:	request for non-existant page: quinten/images/logos/logo.png
2013-02-09 00:01:18,409 INFO:	request for non-existant page: quinten/images/back.png
2013-02-09 00:01:18,578 INFO:	request for non-existant page: favicon.ico
2013-02-09 00:02:23,304 INFO:	New processed
2013-02-09 00:02:23,369 INFO:	css requested
2013-02-09 00:02:23,387 INFO:	request for non-existant page: quinten/images/logos/logo.png
2013-02-09 00:02:23,409 INFO:	request for non-existant page: quinten/images/back.png
2013-02-09 00:02:23,502 INFO:	request for non-existant page: favicon.ico
2013-02-09 00:02:25,571 INFO:	Out processed
2013-02-09 00:02:25,703 INFO:	css requested
2013-02-09 00:02:25,768 INFO:	request for non-existant page: quinten/images/logos/logo.png
2013-02-09 00:02:25,810 INFO:	request for non-existant page: quinten/images/back.png
2013-02-09 00:02:26,054 INFO:	request for non-existant page: favicon.ico
2013-02-09 00:15:46,519 INFO:	Out processed
2013-02-09 00:15:46,565 INFO:	css requested
2013-02-09 00:15:46,606 INFO:	request for non-existant page: quinten/images/logos/logo.png
2013-02-09 00:15:46,618 INFO:	request for non-existant page: quinten/images/back.png
2013-02-09 00:15:46,714 INFO:	request for non-existant page: favicon.ico
2013-02-09 00:16:00,881 INFO:	request for non-existant page: favicon.ico
2013-02-09 00:16:02,196 INFO:	request for non-existant page: quinten/images/logos/logo.png
2013-02-09 00:16:02,752 INFO:	css requested
2013-02-09 00:16:02,762 INFO:	request for non-existant page: quinten/images/logos/logo.png
2013-02-09 00:16:02,915 INFO:	request for non-existant page: quinten/images/back.png
2013-02-09 00:16:03,001 INFO:	request for non-existant page: favicon.ico
2013-02-09 00:16:23,163 INFO:	Out processed
2013-02-09 00:16:23,194 INFO:	css requested
2013-02-09 00:16:23,218 INFO:	css requested
2013-02-09 00:16:23,230 INFO:	request for non-existant page: quinten/images/back.png
2013-02-09 00:16:23,311 INFO:	request for non-existant page: favicon.ico
2013-02-09 00:16:46,912 INFO:	 processed
2013-02-09 00:16:47,160 INFO:	css requested
2013-02-09 00:16:47,245 INFO:	css requested
2013-02-09 00:16:47,488 INFO:	request for non-existant page: quinten/images/back.png
2013-02-09 00:16:47,697 INFO:	request for non-existant page: favicon.ico
2013-02-09 00:16:47,820 INFO:	request for non-existant page: favicon.ico
2013-02-09 00:16:56,080 INFO:	Draw processed
2013-02-09 00:16:56,176 INFO:	css requested
2013-02-09 00:16:56,213 INFO:	css requested
2013-02-09 00:16:56,233 INFO:	request for non-existant page: quinten/images/back.png
2013-02-09 00:16:56,529 INFO:	request for non-existant page: favicon.ico
2013-02-09 00:16:56,853 INFO:	Phase processed
2013-02-09 00:16:56,886 INFO:	css requested
2013-02-09 00:16:56,905 INFO:	css requested
2013-02-09 00:16:56,919 INFO:	request for non-existant page: quinten/images/back.png
2013-02-09 00:16:56,977 INFO:	request for non-existant page: favicon.ico
2013-02-09 00:16:57,471 INFO:	Turn processed
2013-02-09 00:16:57,525 INFO:	css requested
2013-02-09 00:16:57,557 INFO:	css requested
2013-02-09 00:16:57,575 INFO:	request for non-existant page: quinten/images/back.png
2013-02-09 00:16:57,644 INFO:	request for non-existant page: favicon.ico
2013-02-09 00:16:58,125 INFO:	Draw processed
2013-02-09 00:16:58,159 INFO:	css requested
2013-02-09 00:16:58,181 INFO:	css requested
2013-02-09 00:16:58,217 INFO:	request for non-existant page: quinten/images/back.png
2013-02-09 00:16:58,272 INFO:	request for non-existant page: favicon.ico
2013-02-09 00:16:58,660 INFO:	Out processed
2013-02-09 00:16:58,689 INFO:	css requested
2013-02-09 00:16:58,709 INFO:	css requested
2013-02-09 00:16:58,720 INFO:	request for non-existant page: quinten/images/back.png
2013-02-09 00:16:58,791 INFO:	request for non-existant page: favicon.ico
2013-02-09 00:17:00,339 INFO:	Out processed
2013-02-09 00:17:00,367 INFO:	css requested
2013-02-09 00:17:00,387 INFO:	css requested
2013-02-09 00:17:00,543 INFO:	request for non-existant page: quinten/images/back.png
